fire_id,year,lat_min,lat_max,lon_min,lon_max
fire_21997854,2018,35.48473288167196,36.48496686157953,-120.52120720775297,-119.44350299561998
fire_21890058,2018,41.67236865132005,42.662845818477436,-117.05616098609585,-115.84645817116346
fire_22141426,2018,45.573347542952305,46.57260551797244,-120.47356045803801,-119.35571833095509
fire_21748798,2018,34.17454239648068,35.15575643869954,-112.9777782609147,-111.71970811702788
fire_22257911,2018,39.72798487421021,40.73387631052726,-122.65139020958655,-121.62476492001926
fire_21751315,2018,33.80150798304701,34.72680465613668,-104.48647633236716,-103.02521562029993
fire_21804942,2018,38.92968502959442,39.89839002171343,-111.8324551724506,-110.4903441562671
fire_22141243,2018,37.88871706985114,38.888751411582994,-119.98657793854117,-118.88151862162377
fire_21998023,2018,47.42273642514694,48.42079187779918,-119.79464093498757,-118.6423090177766
fire_21748801,2018,33.22832328218962,34.19028494053832,-109.17365392071561,-107.8328426833053
fire_21889995,2018,44.856803956230166,45.85457922197148,-120.01626052475271,-118.8860910424501
fire_21889719,2018,41.36567317755654,42.3768993064105,-124.04172149527346,-123.03795833198622
fire_21890143,2018,38.82027279971255,39.781955831674146,-110.56814899174057,-109.1908726077609
fire_22141577,2018,40.176030009858835,41.16482588623891,-116.07161498397798,-114.84284073183746
fire_21751303,2018,37.01361848015199,37.96540115964247,-108.60067802894396,-107.19316459878667
fire_22141195,2018,41.34447480279625,42.35655869250296,-124.1399921379294,-123.13812375022998
fire_21890072,2018,41.10107435069037,42.09519968041492,-117.58566518990949,-116.3958095487809
fire_21890078,2018,41.17231233985869,42.16224507087577,-117.52170436346296,-116.32983492976193
fire_21748813,2018,32.95109160236644,33.910005397828456,-108.54011229250624,-107.18747285348272
fire_21889826,2018,33.21675858613876,34.21409916640569,-117.26671500401154,-116.11938030257986
fire_21748783,2018,38.80398675110371,39.8034844355378,-119.97428253305122,-118.86678694115939
fire_21999381,2018,41.63773049388778,42.553739398084005,-106.06219195590076,-104.50666157453179
fire_21889679,2018,42.23432346807345,43.23983123089331,-123.41054057880525,-122.39648271500015
fire_21889750,2018,39.309247170927335,40.30934059684922,-120.04828841412531,-118.94192930826706
fire_21890091,2018,40.732620855817316,41.68261877642756,-109.68678981322952,-108.25845599086925
fire_21890087,2018,40.82964972845724,41.81152917797291,-115.36401311255312,-114.10690494497882
fire_21998152,2018,43.685955679484316,44.67195208301349,-115.79980103059212,-114.53331732317444
fire_21889957,2018,46.18435833472682,47.18386667024508,-120.18815395047997,-119.0615692126941
fire_21889992,2018,44.99642658231202,45.999274533644105,-121.43155712275433,-120.35252939557942
fire_21805022,2018,34.829377469354554,35.76424390182142,-105.49718995620402,-104.04616970430337
fire_22141343,2018,45.99794027971478,46.994012613854096,-119.89735418554146,-118.75492448528045
fire_21999321,2018,47.279113862195565,48.273411718235906,-118.61806188257648,-117.42120060150845
fire_21804985,2018,37.078561192351394,38.00980384721309,-105.88533778933295,-104.40526461355913
fire_21804572,2018,39.827968734589184,40.83086112070194,-122.33536954956973,-121.29810911916155
fire_21804590,2018,36.916927147818065,37.91599168710128,-120.82074985640878,-119.74237319507856
fire_21998230,2018,42.1172266896261,43.11898866614952,-121.26411442841354,-120.18511004381772
fire_22141465,2018,43.84920690281926,44.81682585010123,-112.97260265906462,-111.60935728488204
fire_21889779,2018,37.13030730732894,38.13114611330866,-120.34613482795925,-119.25380908042392
fire_21615469,2018,36.524710569452814,37.43708954746073,-103.85515263214185,-102.33344111008998
fire_22257961,2018,37.69633833486056,38.70110176771439,-122.48246579808044,-121.44895013977474
fire_22141572,2018,40.37435751528323,41.34908097908798,-113.43165875179355,-112.12131316588274
fire_21690102,2018,34.692543818608186,35.65076804197722,-108.79204173520586,-107.4239063038624
fire_21890170,2018,37.1295867564351,38.080871068444154,-109.16880499700724,-107.77406722319012
fire_21804893,2018,41.45077335969448,42.42320078083948,-112.93307520782662,-111.59390474919917
fire_21890065,2018,41.452914665778465,42.44199984049881,-116.6770008011685,-115.45712889851312
fire_21889697,2018,41.899734619013664,42.920152206348256,-124.33064774989629,-123.32776299867297
fire_21751305,2018,36.06706937033728,36.99567911854728,-105.7521286590574,-104.28574589689242
fire_21998119,2018,44.32505686546537,45.32516278765205,-120.8381668295747,-119.73813742702585
fire_21459249,2018,36.91243710549908,37.89260580421532,-113.70490972344444,-112.43886728531332
fire_22141585,2018,39.78938303375326,40.72127274694743,-107.33397242265353,-105.84889410303754
fire_21890010,2018,43.96734358759941,44.95832958365332,-117.44826357555468,-116.23592657719176
fire_21688910,2018,34.10352621906431,35.08009615971982,-111.74599855510552,-110.45610828228372
fire_21804588,2018,37.06289096263477,38.06354537922312,-119.68227834911906,-118.57370097569543
fire_21890109,2018,39.73024947989592,40.67435329378939,-108.87922712204244,-107.44115117702788
fire_21998081,2018,45.64475173766843,46.642025268569206,-119.7003713651474,-118.5522521830956
fire_21890007,2018,44.34549157722226,45.33200225129438,-115.87434667555432,-114.60233207598677
fire_21890013,2018,43.66288389042093,44.62901274189176,-112.66467860922756,-111.29210867483492
fire_21998265,2018,41.327273687825276,42.30263190914346,-113.33698276681535,-112.0111491338246
